Date,S&P Adj Close,S&P Volume,S&P return
1-Jun-03,974.5,"31,219,400,000",0.011258626
1-May-03,963.59,"30,952,100,000",0.049645665
1-Apr-03,916.92,"29,669,610,000",0.07792735
1-Mar-03,848.18,"30,080,030,000",0.008322874
1-Feb-03,841.15,"25,235,300,000",-0.017149844
1-Jan-03,855.7,"30,749,580,000",-0.027797494
1-Dec-02,879.82,"25,993,640,000",-0.062229277
1-Nov-02,936.31,"29,200,960,000",0.055500585
1-Oct-02,885.76,"37,856,310,000",0.082914421
1-Sep-02,815.28,"27,723,710,000",-0.116561168
1-Aug-02,916.07,"29,298,400,000",0.004869544
1-Jul-02,911.62,"42,228,720,000",-0.082299872
1-Jun-02,989.82,"29,981,510,000",-0.075214343
1-May-02,"1,067.14","26,905,500,000",-0.009122942
1-Apr-02,"1,076.92","28,568,900,000",-0.063384683
1-Mar-02,"1,147.39","26,563,200,000",0.036080076
1-Feb-02,"1,106.73","26,047,600,000",-0.020984887
1-Jan-02,"1,130.20","29,746,200,000",-0.015696374
1-Dec-01,"1,148.08","25,128,570,000",0.007545292
1-Nov-01,"1,139.45","26,330,000,000",0.07248435
1-Oct-01,"1,059.78","29,951,280,000",0.017937188
1-Sep-01,"1,040.94","25,025,290,000",-0.085256615
1-Aug-01,"1,133.58","23,359,200,000",-0.066255606
1-Jul-01,"1,211.23","23,793,710,000",-0.010798221
1-Jun-01,"1,224.38","24,748,030,000",-0.025354152
1-May-01,"1,255.82","24,525,900,000",0.005077288
1-Apr-01,"1,249.46","25,409,990,000",0.074007011
1-Mar-01,"1,160.33","27,806,610,000",-0.066358544
1-Feb-01,"1,239.94","21,644,400,000",-0.09683109
1-Jan-01,"1,366.01","27,829,800,000",0.034050246
1-Dec-00,"1,320.28","23,610,800,000",0.004045193
1-Nov-00,"1,314.95","20,532,300,000",-0.083456134
1-Oct-00,"1,429.40","25,951,400,000",-0.004961785
1-Sep-00,"1,436.51","20,838,300,000",-0.054966292
1-Aug-00,"1,517.68","20,363,700,000",0.058928158
1-Jul-00,"1,430.83","19,089,100,000",-0.016476253
1-Jun-00,"1,454.60","21,738,300,000",0.023651631
1-May-00,"1,420.60","19,898,300,000",-0.022158698
1-Apr-00,"1,452.43","20,106,460,000",-0.031279977
1-Mar-00,"1,498.58","26,156,200,000",0.092323812
1-Feb-00,"1,366.42","20,912,000,000",-0.020313063
1-Jan-00,"1,394.46","21,494,400,000",-0.052244823
1-Dec-99,"1,469.25","19,640,690,000",0.0562328
1-Nov-99,"1,388.91","18,384,820,000",0.018882473
1-Oct-99,"1,362.93","18,832,000,000",0.060661767
