Australia,Canada,China Hong Kong,Denmark,Hungary,India,Japan,Kuwait,Mexico,New Zealand,Norway,Philippines,Saudi Arabia,Singapore,South Africa,Sweden,Switzerland,Taiwan,Thailand,United Kingdom
0.162687833,0.094564985,0.006539911,0.066909018,0.005466808,-0.014766483,0.279584978,-0.004094359,0.242145135,0.130138286,0.039526965,-0.129091149,0.004326934,0.150008858,-0.347466331,0.273261542,0.023860917,-0.107910553,0.084143404,-0.008552409
0.146666237,0.077812537,0.006772238,0.063843637,0.034832964,-0.015086498,0.356843135,-0.006792785,0.262308317,0.134376717,0.039584776,-0.115348794,0.004474198,0.159809954,-0.44353778,0.30270816,0.032251001,-0.119359837,0.080790547,0.013472466
0.13708777,0.082135651,0.006701217,0.030432403,0.011768456,-0.016731571,0.386013111,-0.009151675,0.270353655,0.135907311,0.027884143,-0.104950171,0.004835724,0.154298051,-0.412583303,0.277577076,0.063116488,-0.117925057,0.088016481,-0.014632895
0.160524675,0.072650266,0.006823833,0.036448663,0.012577601,-0.015735725,0.388717892,-0.007833242,0.280415439,0.150483874,0.054065237,-0.101387758,0.005090215,0.15240462,-0.408658038,0.305953008,0.058546572,-0.119717061,0.098189484,-0.012102114
0.201632295,0.079020074,0.00692063,0.046386859,0.036149879,-0.011850118,0.377224766,-0.005221544,0.30425013,0.206767672,0.067603153,-0.093874045,0.005157215,0.159973859,-0.400863975,0.318395388,0.044546452,-0.116489369,0.103352933,-0.003662833
0.211772481,0.097010662,0.007056186,0.081745867,0.076330651,-0.009733587,0.334359517,0.001073109,0.258372704,0.230613536,0.124742758,-0.083356821,0.005304615,0.140260787,-0.355770228,0.334121,0.004285385,-0.12302147,0.110729476,0.021277409
0.27876434,0.12725084,0.007230486,0.122911723,0.126015932,-0.006425413,0.289460699,0.006815194,0.226929319,0.318107294,0.183282855,-0.073210644,0.005545852,0.125409835,-0.295496055,0.405069786,-0.029915485,-0.135433855,0.134739808,0.027332019
0.271592994,0.133308517,0.007224029,0.187476598,0.183137618,0.000123844,0.244986559,0.015815308,0.200425274,0.340901975,0.265966215,-0.072026158,0.005679892,0.113425347,-0.327234114,0.492086764,-0.081932809,-0.150059505,0.156849926,0.071214718
0.235697541,0.08799618,0.007295054,0.180539983,0.180890099,0.008140978,0.245944128,0.017599006,0.222628276,0.298455533,0.252731114,-0.08562374,0.006095464,0.111526492,-0.316107686,0.446713608,-0.085081994,-0.139547738,0.143830983,0.099410895
0.253690377,0.105844883,0.007366084,0.183072214,0.188901721,0.015030387,0.23520517,0.01759856,0.217781464,0.299134043,0.272404191,-0.092159082,0.006752513,0.104543858,-0.328247071,0.46581409,-0.072843746,-0.126933288,0.139619329,0.090525178
0.239947615,0.088374337,0.007495236,0.193593062,0.214550419,0.021247151,0.269098563,0.018002578,0.186441802,0.307735425,0.299279066,-0.099147172,0.007664766,0.121721993,-0.322965429,0.487503549,-0.08936359,-0.108372486,0.112393755,0.110555672
0.26931485,0.103699622,0.007734188,0.197073632,0.2346143,0.024578208,0.278817605,0.019047591,0.202108786,0.359309068,0.300568597,-0.10798139,0.008228809,0.11504648,-0.282060811,0.506415157,-0.086743407,-0.111720117,0.112393622,0.106874099
0.287490978,0.104234007,0.007934467,0.205329674,0.26760815,0.028652732,0.280729118,0.019621524,0.210659688,0.399464283,0.326886686,-0.111345727,0.008605148,0.116056658,-0.218853511,0.52831452,-0.081761029,-0.11337993,0.107647571,0.103236755
0.295161949,0.09631004,0.008070172,0.27114391,0.353379501,0.039375761,0.240014081,0.027898471,0.179160322,0.47132845,0.406457009,-0.104907918,0.009062229,0.095920075,-0.150309681,0.598081383,-0.150575138,-0.113954476,0.118523347,0.14324829
0.350727972,0.131531478,0.007986141,0.300011557,0.341385454,0.045970699,0.254368103,0.029822566,0.138741708,0.534980499,0.407464332,-0.108314186,0.009411983,0.099350384,-0.137694735,0.613844997,-0.1595214,-0.113954476,0.12764332,0.169327843
0.401569713,0.164405679,0.008167074,0.30834858,0.35434749,0.051839109,0.237461223,0.027688988,0.131491322,0.575111582,0.369216738,-0.115496389,0.00974837,0.099811915,-0.079901007,0.639165648,-0.166221453,-0.112221329,0.127695873,0.121826473
0.399547328,0.181004398,0.008179998,0.326533835,0.357766043,0.059508435,0.242475943,0.029369627,0.162023424,0.574000779,0.356757951,-0.093966527,0.010111813,0.116236792,-0.047979412,0.645921297,-0.16832352,-0.112004129,0.12585182,0.127917796
0.452039094,0.212677969,0.008444976,0.358270932,0.402050079,0.063029496,0.250963107,0.03194986,0.224102657,0.594594163,0.410500116,-0.06994173,0.010381118,0.123334025,0.036803096,0.70928149,-0.164612532,-0.108531341,0.126967655,0.142533593
0.51552127,0.267637808,0.008503164,0.430826613,0.461474162,0.071481629,0.255989559,0.031879933,0.22230817,0.650855345,0.477691943,-0.079267827,0.010690887,0.09707885,-0.05729192,0.802227159,-0.19914152,-0.112458664,0.157611507,0.173030835
0.564170076,0.283684362,0.008444965,0.396975344,0.343383155,0.087254513,0.262375057,0.02946837,0.216689617,0.680070507,0.369939711,-0.076192018,0.011095071,0.113802414,0.018179105,0.749867518,-0.168288668,-0.114384892,0.14973407,0.18412505
0.51555455,0.240000294,0.008341514,0.370147213,0.337299278,0.097486013,0.268523763,0.032901191,0.213524772,0.669207244,0.367999045,-0.093048744,0.011526333,0.112280479,0.040494913,0.707067694,-0.156574736,-0.118979734,0.151389851,0.155396039
0.518161916,0.260524382,0.008335049,0.338195711,0.344863949,0.106396007,0.227014104,0.033279393,0.155453791,0.667121459,0.323370962,-0.092540512,0.012133034,0.10912828,0.060868857,0.677756396,-0.139518378,-0.123683911,0.176104475,0.1391287
